"id","display_name","title"
"whydonate_help-mohamad-support-his-family-and-save-them-from","Mohamad","Help Mohamad support his family and save them from starvation in Gaza"
"whydonate_help-sister-warda-with-her-medical-conditions-in-g","Warda","Help sister Warda with her medical conditions in Gaza"
"whydonate_support-mohammed-al-louh,-a-father-of-seven-from-g","Mohammed A.","Support Mohammed Al-Louh, a father of seven from Gaza"
"whydonate_save-ahed-and-his-family-from-the-genocide-in-gaza","Ahed","Save Ahed and his family from the genocide in Gaza, Palestine."
"whydonate_help-wafaa-and-her-family-rebuild-sustainibilty-in","Wafaa","Help Wafaa and her family rebuild sustainibilty in Gaza"
"whydonate_help-akram-mahmoud-feed-his-family-in-gaza","Akram M.","Help Akram Mahmoud feed his family in Gaza"
"whydonate_help-khatam-hamdi-and-her-family-of-17-survive-in-","Khatam H.","Help Khatam Hamdi and her family of 17 survive in Gaza"
"whydonate_help-ibtisam-and-her-family-surviving-in-gaza","Ibtisam","Help Ibtisam and her family surviving in Gaza"
"whydonate_help-ahmed-o.-and-his-family-of-22-souls,-survive-","Ahmed O.","Help Ahmed O. and his family of 22 Souls, survive in Gaza"
"whydonate_help-aya-and-her-family-survive-the-bombings-and-f","Aya","Help Aya and her family survive the bombings and find safety, Palestine."
"whydonate_help-fadi-abu-odeh-rebuild-his-family's-security","Fadi A. O.","Help Fadi Abu Odeh rebuild his family's security"
"whydonate_in-displacement..-help-hayam-mohammed-and-her-5-ch","Hayam M.","In displacement.. Help Hayam Mohammed and her 5 children move to south Gaza"
"whydonate_help-shereen’s-displaced-family-survive-the-gaza-w","Shereens D.","Help Shereen’s Displaced Family Survive the Gaza War"
"whydonate_help-safia-to-provide-a-subsistence-for-her-family","Safia","Help Safia to provide a subsistence for her family in Gaza, Palestine"
"whydonate_help-zina-and-her-family-rebuild-their-lives-in-ga","Zina","Help Zina and her Family rebuild their lives in Gaza, Palestine."
"whydonate_help-my-family-survive-and-rebuild-our-lives-in-ga","Family","Help My Family Survive and Rebuild Our Lives in Gaza"
"whydonate_help-magda's-family-after-two-years-of-displacemen","Magda","Help Magda's family after two years of displacements in Gaza"
"whydonate_help-hanin-support-her-family-and-her-injured-husb","Hanin","Help Hanin support her family and her injured husband in Gaza"
"whydonate_help-ahmed-survive-in-gaza-during-the-genocide","Ahmed","Help Ahmed survive in Gaza during the genocide"
"whydonate_help-sister-sahar-with-her-family,-providing-a-sub","Sahar","Help sister Sahar with her family, providing a subsistence in Gaza"
"whydonate_save-abu-muhammad's-children-from-the-engineered-s","Abu M.","Save Abu Muhammad's children from the engineered starvation in Gaza"
"whydonate_help-hala-and-her-family-rebuild-their-lives-in-ga","Hala","Help Hala and her family rebuild their lives in Gaza"
"whydonate_help-anas-mohammed's-family-survive-the-destructio","Anas M.","Help Anas Mohammed's family survive the destruction in Gaza"
"whydonate_help-rozan-and-her-family-rebuild-their-lives-in-g","Rozan","Help Rozan and her family rebuild their lives in Gaza, Palestine."
"whydonate_help-maryam-ahmed-&-her-sister-survive-starvation-","Maryam A.","Help Maryam Ahmed & her sister survive starvation in Gaza."
